DDBJ/ENA/GenBank Accession,UBA Genome ID,SRA Bin ID,Genome Quality,CheckM Completeness,CheckM Contamination,CheckM Strain Heterogeneity,NCBI Organism Name,SSU Length (bp),SSU Percent Identity (top hit),SSU SILVA Taxonomy (top hit),SSU Top Hit in SILVA,Genome Size (bp),GC,Coverage,Bases >5x Coverage (%),No. Ambiguous Bases,No. Contigs,No. Scaffolds,No. Predicted Genes,Coding density,Longest Contig (bp),Longest Scaffold (bp),Mean Contig Length (bp),Mean Scaffold Length (bp),N50 (contigs),N50 (scaffolds),Translation Table,Scaffolds Removed by Filtering,Standard tRNAs,Selenocysteine tRNAs (TCA),tRNAs Decoding Standard 20 AA,Total tRNAs,Percent PG (relative to NCBI genomes),CheckM Marker Lineage,CheckM # genomes,CheckM # marker sets,CheckM # markers,CheckM Insertion Branch ID
DDWS00000000,UBA2280,SRX559898,Medium,96.77,5.48,0,Syntrophaceae bacterium UBA2280 [family],,,,,3868277,51.55155888,75.21,99.91981762,844,80,71,3594,0.894547624,284793,309862,48342,54482,84829,91765,11,23,18,0,44,44,0.009148,c__Deltaproteobacteria (UID3216),83,155,247,UID3217
DDLU00000000,UBA2564,SRX894068,Medium,84.95,0.26,50,Desulfovibrio sp. UBA2564 [genus],,,,,3638834,47.34085149,12.77,95.9690934,0,316,316,3451,0.888581892,45813,45813,11515,11515,16339,16339,11,15,17,1,50,51,0.00162,c__Deltaproteobacteria (UID3218),61,169,284,UID3266
DEIP00000000,UBA2771,SRX560108,Medium,89.19,1.29,0,Desulfobacteraceae bacterium UBA2771 [family],,,,,3043619,54.13298727,40.41,99.87982462,12216,359,198,2823,0.863063018,61726,120150,8444,15371,17002,27366,11,11,16,0,33,33,0.006188,c__Deltaproteobacteria (UID3216),83,155,247,UID3222
DFBQ00000000,UBA3076,SRX559946,Near complete,94.03,1.98,20,Deltaproteobacteria bacterium UBA3076 [class],463,97.168,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;SEEP-SRB2;uncultured bacterium,GU302426.1.1526,2644719,47.27279078,52.47,99.94608383,11001,402,249,2613,0.844777082,36491,39777,6551,10621,10418,14605,11,15,18,1,35,36,0.025484,c__Deltaproteobacteria (UID3217),62,168,280,UID3233
DFNK00000000,UBA3569,SRX742693,Medium,76.89,0.77,100,Firmicutes bacterium UBA3569 [phylum],,,,,1971426,62.23397554,24.42,99.51822714,10751,252,215,2077,0.880456076,38958,38958,7780,9169,12255,12557,11,47,14,1,28,30,0.024073,p__Firmicutes (UID239),1324,102,176,UID239
DFNH00000000,UBA3572,SRX742691,Near complete,98.41,0,0,Firmicutes bacterium UBA3572 [phylum],,,,,2033475,59.38367621,99.27,99.99576274,3860,51,40,2100,0.865236602,114318,177081,39796,50836,70207,71327,11,0,19,1,43,45,0.006719,p__Firmicutes (UID1022),100,157,293,UID1101
DFND00000000,UBA3576,SRX742691,Medium,79.24,0,0,Firmicutes bacterium UBA3576 [phylum],1564,86.314,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Caldibacillus;Bacillus thermozeamaize,AY288912.1.1554,1991268,62.86396904,51.89,99.81204572,9403,128,98,1999,0.891500792,71103,71103,15483,20319,24420,32705,11,3,15,1,31,33,0.024099,p__Firmicutes (UID239),1324,102,176,UID239
DFDR00000000,UBA3823,SRX290719,Medium,82.63,1.18,50,Desulfovibrionaceae bacterium UBA3823 [family],,,,,2676110,65.34447236,15.34,98.96931369,21180,526,260,2357,0.799029188,74937,108897,5047,10292,9109,15149,11,17,13,0,34,34,0.016033,c__Deltaproteobacteria (UID3218),61,169,284,UID3256
DGGT00000000,UBA3867,SRX290718,Medium,76.06,0.26,0,Desulfovibrionaceae bacterium UBA3867 [family],,,,,2555679,65.54852654,12.9,97.92866946,20159,547,294,2266,0.80229755,40343,59401,4635,8692,7237,11433,11,12,17,0,37,37,0.016033,c__Deltaproteobacteria (UID3218),61,169,284,UID3256
DFZM00000000,UBA4056,SRX211001,Medium,71.93,1.75,0,Desulfobulbaceae bacterium UBA4056 [family],,,,,3311367,60.10255386,110.96,99.99966713,6762,176,94,3059,0.871819101,164785,188788,18776,35227,43965,66048,11,19,15,1,28,30,0,k__Bacteria (UID203),5449,57,103,UID3235
DFZJ00000000,UBA4059,SRX211001,Near complete,92.58,2.58,60,Syntrophaceae bacterium UBA4059 [family],1321,99.658,Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Smithella;uncultured bacterium,JN685455.1.1557,2958948,49.20621099,65.71,99.98126362,7471,318,230,3055,0.889820977,60444,60448,9281,12864,16537,18867,11,56,16,2,36,38,0.008432,c__Deltaproteobacteria (UID3216),83,155,247,UID3217
DFZE00000000,UBA4064,SRX211001,Near complete,97.42,0.32,0,Desulfobacteraceae bacterium UBA4064 [family],,,,,4789436,50.17143462,45.25,99.97107878,10938,457,301,4706,0.867841224,69049,83119,10456,15911,16572,24706,11,38,18,1,37,38,0.009539,c__Deltaproteobacteria (UID3216),83,155,247,UID3230
DFYS00000000,UBA4076,SRX211001,Medium,75.09,1.57,0,Moorella sp. UBA4076 [genus],,,,,2053645,56.78232591,20.92,99.46315087,7260,278,184,2132,0.816671333,45853,64128,7361,11161,11843,15227,11,8,18,1,29,31,0.006117,c__Clostridia (UID1085),35,196,420,UID1107
DFYP00000000,UBA4079,SRX211001,Near complete,90.88,0.59,0,Desulfovibrio sp. UBA4079 [genus],,,,,2887263,68.02264793,17.7,97.9231653,3644,264,210,2930,0.910867143,97833,97847,10922,13748,17789,20808,11,6,16,1,35,37,0.004496,c__Deltaproteobacteria (UID3218),61,169,284,UID3263
DHHP00000000,UBA4769,SRX559915,Near complete,95.48,1.94,0,Desulfobacteraceae bacterium UBA4769 [family],345,96.46,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;uncultured;uncultured bacterium,JN685472.1.1556,3828219,62.43288792,437.47,100.0004965,1598,119,94,3462,0.875442601,120407,124972,32156,40725,50089,56827,11,49,18,0,43,44,0.018038,c__Deltaproteobacteria (UID3216),83,155,247,UID3222
DHGT00000000,UBA4791,SRX559915,Medium,74.09,3.55,0,Desulfatitalea sp. UBA4791 [genus],,,,,4021949,58.24304972,44.07,99.90534311,3224,216,167,3708,0.889220624,125324,125326,18605,24083,37492,46955,11,36,11,0,18,18,0.001548,c__Deltaproteobacteria (UID3216),83,155,247,UID3222
DHGG00000000,UBA4804,SRX559915,Near complete,91.29,1.29,0,Desulfarculales bacterium UBA4804 [order],,,,,3132019,53.05887175,25.5,99.80530372,1502,95,66,2884,0.857807057,156206,245149,32952,47454,57344,70868,11,5,16,1,32,34,0.000183,c__Deltaproteobacteria (UID3216),83,155,247,UID3219
DHYV00000000,UBA5121,ERX1114176,Near complete,95.45,0.6,0,Desulfobulbaceae bacterium UBA5121 [family],,,,,3532871,63.18717685,26.59,99.91346203,4940,106,59,3009,0.864242142,266652,313073,33282,59879,69763,105897,11,0,16,1,31,34,0.012169,c__Deltaproteobacteria (UID3217),62,168,280,UID3234
DHYT00000000,UBA5123,ERX1114176,Medium,75.45,1.66,40,Desulfobulbaceae bacterium UBA5123 [family],707,93.45,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;uncultured;uncultured bacterium,GQ356927.1.1523,2297359,61.01236613,8.3,92.26380727,11842,369,242,2346,0.873723262,36473,48707,6193,9493,9966,12420,11,6,10,0,15,15,0.013857,c__Deltaproteobacteria (UID3217),62,168,280,UID3234
DHWV00000000,UBA5173,SRX480816,Medium,70.97,1.79,33.33,Desulfobulbaceae bacterium UBA5173 [family],,,,,2126123,55.34779774,17.9,99.8123797,26670,216,115,2141,0.873932035,64152,79974,9719,18488,16869,27969,11,18,16,0,29,30,0.014094,c__Deltaproteobacteria (UID3217),62,168,280,UID3235
DHWB00000000,UBA5193,SRX559902,Near complete,98.15,0,0,Desulfomicrobium sp. UBA5193 [genus],1400,99.437,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfomicrobiaceae;Desulfomicrobium;Desulfomicrobium baculatum DSM 4028,CP001629.3896599.3898140,4124563,58.66777144,2662.63,99.99701741,631,18,14,3598,0.897531932,852936,852944,229107,294611,368005,609604,11,0,17,1,53,54,0.002374,c__Deltaproteobacteria (UID3217),62,168,280,UID3243
DING00000000,UBA5546,SRX392471,Near complete,100,0,0,Desulfovibrionaceae bacterium UBA5546 [family],,,,,3880051,67.66777261,109.93,99.99443205,708,52,32,3144,0.84150131,594574,594909,74602,121251,114935,178632,11,0,17,1,47,48,0.000221,c__Deltaproteobacteria (UID3218),61,169,284,UID3260
DIKZ00000000,UBA5605,SRX211342,Near complete,91.61,0.32,0,Desulfobacteraceae bacterium UBA5605 [family],974,98.279,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatirhabdium;uncultured Desulfobacteraceae bacterium,EU266914.1.1527,4675905,50.41949743,106.93,99.97108691,17116,480,270,4579,0.864965606,75926,93226,9705,17318,17125,26556,11,32,17,1,34,35,0.009539,c__Deltaproteobacteria (UID3216),83,155,247,UID3230
DIKT00000000,UBA5611,SRX211342,Medium,70.18,0.88,100,Desulfobulbaceae bacterium UBA5611 [family],,,,,2948531,50.28537149,50.7,99.92747671,4649,166,95,2725,0.877900894,105144,133252,17734,31037,36674,61595,11,14,16,1,33,34,0.011857,k__Bacteria (UID203),5449,57,103,UID3235
DIKO00000000,UBA5616,SRX211342,Near complete,93.55,2.96,0,Desulfobacteraceae bacterium UBA5616 [family],,,,,3672375,51.60604683,34.34,99.92199384,2152,156,122,3429,0.904033221,139299,139299,23527,30101,38759,47957,11,6,15,1,29,31,0.015789,c__Deltaproteobacteria (UID3216),83,155,247,UID3222
DIKL00000000,UBA5619,SRX211342,Medium,80.27,4.03,0,Syntrophaceae bacterium UBA5619 [family],,,,,2604462,58.81776632,26,99.49975113,4756,206,135,2489,0.893342272,81867,81875,12619,19292,23759,29723,11,51,12,1,18,21,0.014442,c__Deltaproteobacteria (UID3216),83,155,247,UID3217
DIKH00000000,UBA5623,SRX211342,Medium,83.26,2.47,14.29,Desulfobacteraceae bacterium UBA5623 [family],,,,,4096648,47.4329322,20.12,99.58516933,12572,659,467,4131,0.861126707,52086,106307,6197,8772,8542,11969,11,14,14,1,34,35,0.013239,c__Deltaproteobacteria (UID3216),83,155,247,UID3232
DIKC00000000,UBA5628,SRX211342,Partial,53.42,0,0,Desulfobulbaceae bacterium UBA5628 [family],,,,,1831497,60.0882488,15.01,97.05014216,5070,277,203,2010,0.909311891,36941,45472,6593,9022,10765,11261,11,1,15,1,25,26,0.008679,c__Deltaproteobacteria (UID3217),62,168,280,UID3234
DIFO00000000,UBA5746,SRX210886,Near complete,94.84,2.37,10,Desulfobacteraceae bacterium UBA5746 [family],813,98.642,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;Desulfatirhabdium;uncultured Desulfobacteraceae bacterium,EU266914.1.1527,4906122,50.20258324,96.51,99.95180191,13812,471,289,4787,0.862664035,75934,92236,10387,16976,17653,25370,11,39,17,1,36,37,0.009502,c__Deltaproteobacteria (UID3216),83,155,247,UID3230
DIFK00000000,UBA5750,SRX210886,Medium,75.44,1.75,0,Desulfobulbaceae bacterium UBA5750 [family],,,,,3192705,59.73898867,83.11,99.51167837,17134,414,216,3064,0.8603482,89896,143100,7670,14781,14127,20968,11,18,15,1,29,30,0,k__Bacteria (UID203),5449,57,103,UID3235
DIFG00000000,UBA5754,SRX210886,Medium,80.36,0.6,0,Deltaproteobacteria bacterium UBA5754 [class],1490,98.867,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobulbaceae;SEEP-SRB2;uncultured bacterium,GU390793.1.1523,1885320,57.53954278,60.93,99.96329262,2865,148,100,1762,0.899528462,56338,112120,12719,18853,22281,29999,11,0,17,1,34,35,0.027399,c__Deltaproteobacteria (UID3217),62,168,280,UID3233
DIDQ00000000,UBA5796,SRX317535,Near complete,95.91,2,0,Anaerolineales bacterium UBA5796 [order],1496,93.966,Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured prokaryote,KM410349.1.1471,4862987,59.22175792,133.11,99.84958969,6272,268,173,4408,0.875319017,97165,97165,18122,28109,33824,45461,11,0,19,1,43,45,0.009398,k__Bacteria (UID1452),924,110,163,UID2310
DICR00000000,UBA5821,SRX392460,Medium,85.94,2.96,0,Desulfovibrionaceae bacterium UBA5821 [family],,,,,3363804,67.60342753,21.6,99.33398792,21222,720,349,3105,0.820146774,35148,43541,4642,9638,7429,13039,11,26,18,1,37,39,0.000275,c__Deltaproteobacteria (UID3218),61,169,284,UID3262
DJHD00000000,UBA5828,SRX392460,Medium,84.48,3.23,0,Syntrophaceae bacterium UBA5828 [family],,,,,3342016,57.88349894,8.83,87.18203632,12587,553,267,3406,0.882240839,63406,63426,6020,12516,10120,16436,11,0,17,0,30,33,0.010748,c__Deltaproteobacteria (UID3216),83,155,247,UID3217
DJGQ00000000,UBA5842,SRX392467,Near complete,96.91,0,0,Desulfovibrionaceae bacterium UBA5842 [family],,,,,3916043,67.48814415,64.56,99.98509762,17336,405,68,3284,0.823893149,69559,260621,9626,57588,16954,98229,11,23,19,1,50,52,0.000221,c__Deltaproteobacteria (UID3218),61,169,284,UID3262
DJGG00000000,UBA5852,SRX392467,Medium,91.54,6.16,0,Desulfobacteraceae bacterium UBA5852 [family],,,,,4794561,66.55511819,11.04,94.29241431,18461,652,300,4397,0.855034903,118679,238717,7325,15981,13740,24715,11,18,15,2,35,40,0.016842,c__Deltaproteobacteria (UID3216),83,155,247,UID3222
DIXN00000000,UBA6079,SRX327521,Near complete,100,0,0,Desulfovibrio sp. UBA6079 [genus],,,,,4541696,67.32560224,559.7,99.99751173,382,78,72,4020,0.880401066,395676,395693,58221,63079,112261,117076,11,4,19,1,46,47,0.01301,c__Deltaproteobacteria (UID3218),61,169,284,UID3248
DIWG00000000,UBA6112,SRX327521,Medium,83.53,3.23,0,Syntrophaceae bacterium UBA6112 [family],,,,,3181920,56.33902475,27.28,99.80008642,2046,117,87,2947,0.895435775,142300,142306,27178,36573,54264,60306,11,8,17,1,27,31,0.013635,c__Deltaproteobacteria (UID3216),83,155,247,UID3217
DJWK00000000,UBA6232,SRX327522,Near complete,90.74,2.16,12.5,Thermodesulfobacteriaceae bacterium UBA6232 [family],780,98.831,Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Caldimicrobium;Caldimicrobium rimae,EF554596.1.1464,1659636,37.32488571,28.97,99.96290846,1576,68,46,1710,0.934358498,139471,139473,24383,36079,41280,62175,11,1,18,0,39,39,0.005552,k__Bacteria (UID3060),138,243,335,UID3183
DBNV00000000,UBA663,SRX748864,Near complete,90.26,0.89,50,Desulfonatronaceae bacterium UBA663 [family],,,,,1605985,58.57834295,54.43,99.98150871,59311,297,132,1543,0.839523408,36197,55873,5207,12166,8748,15546,11,2,19,0,44,44,0.007907,c__Deltaproteobacteria (UID3217),62,168,280,UID3244
DKEU00000000,UBA6814,SRX545991,Medium,83.36,3.25,0,Desulfovibrionaceae bacterium UBA6814 [family],,,,,3639094,68.98087671,14.53,98.67444921,11319,493,294,3598,0.887802568,39591,70434,7358,12377,13168,17470,11,7,13,1,23,24,0.013031,c__Deltaproteobacteria (UID3218),61,169,284,UID3248
DKBB00000000,UBA6911,ERX633356,Medium,86.38,5.13,0,Acidobacteria bacterium UBA6911 [phylum],491,96.244,Bacteria;Acidobacteria;Acidobacteria;Subgroup 17;uncultured bacterium,EF999365.1.1516,4941781,51.60783639,12.32,98.73828085,3281,457,417,4628,0.850155845,120011,120035,10806,11850,16434,17304,11,65,12,1,21,24,0.028641,k__Bacteria (UID3187),2258,117,188,UID3199
DKAZ00000000,UBA6913,ERX633357,Near complete,94.95,1.79,25,Desulfobulbaceae bacterium UBA6913 [family],,,,,3488184,63.21694992,36.61,99.95048226,545,111,105,3026,0.867593854,183433,183435,31420,33220,54373,54379,11,17,18,1,38,40,0.012169,c__Deltaproteobacteria (UID3217),62,168,280,UID3234
DBLI00000000,UBA728,ERX556126,Medium,77.15,0.3,0,Desulfovibrio sp. UBA728 [genus],,,,,3158511,53.15210141,11.14,95.84036537,38862,462,335,3264,0.87930452,34716,34716,6752,9428,10239,12826,11,1,14,1,26,29,0.003893,c__Deltaproteobacteria (UID3218),61,169,284,UID3270
DKQF00000000,UBA7315,ERX552262,Partial,54.44,0.3,0,Desulfovibrio sp. UBA7315 [genus],,,,,2687541,52.50553172,29.56,99.99631032,4378,28,16,2534,0.893661529,255769,506706,95827,167971,147756,300351,11,1,15,1,34,35,0.0041,c__Deltaproteobacteria (UID3218),61,169,284,UID3270
DLGG00000000,UBA7700,DRX012718,Near complete,93.15,3.04,16.67,Desulfovibrio magneticus [species],874,99.831,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;uncultured bacterium,JQ906386.1.1549,4218885,65.61165184,49.72,99.35107772,4821,297,217,3947,0.873708812,156116,156126,14188,19441,27876,30672,11,12,19,1,38,39,0.000666,c__Deltaproteobacteria (UID3217),62,168,280,UID3274
DBEH00000000,UBA911,SRX748868,Medium,81.21,0.64,0,Firmicutes bacterium UBA911 [phylum],869,100,Bacteria;Firmicutes;Clostridia;Clostridia Incertae Sedis;Unknown Family;Candidatus Desulforudis;uncultured bacterium,AM778013.1.1557,1523585,62.81647248,46.72,99.94564151,15081,103,60,1533,0.851137285,80972,121751,14645,25393,27425,38164,11,2,16,1,34,35,0.003755,p__Firmicutes (UID1022),100,157,293,UID1101
DBDO00000000,UBA930,SRX255562,Medium,81.38,2.66,20,Desulfovibrionaceae bacterium UBA930 [family],,,,,2107400,58.24985322,24.99,98.70457442,12490,459,254,2123,0.865137136,32499,44786,4564,8296,8142,11358,11,4,19,0,40,40,0.00928,c__Deltaproteobacteria (UID3218),61,169,284,UID3251
