DDBJ/ENA/GenBank Accession,UBA Genome ID,SRA Bin ID,Genome Quality,CheckM Completeness,CheckM Contamination,CheckM Strain Heterogeneity,NCBI Organism Name,SSU Length (bp),SSU Percent Identity (top hit),SSU SILVA Taxonomy (top hit),SSU Top Hit in SILVA,Genome Size (bp),GC,Coverage,Bases >5x Coverage (%),No. Ambiguous Bases,No. Contigs,No. Scaffolds,No. Predicted Genes,Coding density,Longest Contig (bp),Longest Scaffold (bp),Mean Contig Length (bp),Mean Scaffold Length (bp),N50 (contigs),N50 (scaffolds),Translation Table,Scaffolds Removed by Filtering,Standard tRNAs,Selenocysteine tRNAs (TCA),tRNAs Decoding Standard 20 AA,Total tRNAs,Percent PG (relative to NCBI genomes),CheckM Marker Lineage,CheckM # genomes,CheckM # marker sets,CheckM # markers,CheckM Insertion Branch ID
DBUJ00000000,UBA1293,SRX822735,Medium,85.29,0.47,0,Enterobacteriaceae bacterium UBA1293 [family],,,,,4045023,54.35730686,64.23,100.0218284,68553,786,125,4219,0.822727831,39955,151925,5059,32360,9435,56985,11,2,18,0,53,54,0,f__Enterobacteriaceae (UID5121),138,336,1162,UID5125
DBUC00000000,UBA1300,SRX822738,Medium,83.74,0,0,Pseudomonas stutzeri [species],,,,,3913239,60.04701779,90.93,99.99861998,252,24,23,3619,0.886053216,553533,553533,163041,170140,407176,407176,11,2,16,0,43,43,0.001483,c__Gammaproteobacteria (UID4445),228,244,583,UID4507
DBTO00000000,UBA1314,SRX118448,Medium,73.33,1.62,83.33,Sulfurospirillum sp. UBA1314 [genus],,,,,2744074,41.44293706,16.17,99.59493897,52134,481,296,2843,0.880373853,34773,55639,5596,9270,8869,13695,11,24,11,0,19,19,0.00095,p__Proteobacteria (UID3061),115,260,396,UID3072
DBSO00000000,UBA1340,SRX144201,Near complete,94.72,0.54,0,Epsilonproteobacteria bacterium UBA1340 [class],,,,,2524097,33.33423139,67.51,99.99924721,142,25,23,2490,0.935202173,443027,443027,100958,109743,154087,162903,11,1,18,0,41,41,0.006567,k__Bacteria (UID3060),138,246,338,UID3162
DBSK00000000,UBA1344,SRX144200,Near complete,94.72,0.54,0,Epsilonproteobacteria bacterium UBA1344 [class],,,,,2514936,33.32454403,79.39,99.99737514,516,23,19,2485,0.934970512,496039,496039,109322,132365,211126,211126,11,1,18,0,41,41,0.006567,k__Bacteria (UID3060),138,246,338,UID3162
DBSJ00000000,UBA1345,SRX144202,Near complete,98.17,0.54,0,Epsilonproteobacteria bacterium UBA1345 [class],1513,99.593,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter;uncultured bacterium,AB243994.1.1486,2637386,33.22915335,98.87,100.0008346,1243,38,24,2612,0.931061286,341286,341286,69372,109891,154776,154776,11,1,17,0,42,42,0.006567,k__Bacteria (UID3060),138,246,338,UID3162
DBSH00000000,UBA1347,SRX144202,Near complete,98.59,1.61,0,Rhizobiales bacterium UBA1347 [order],,,,,4836720,50.36022205,38.1,99.9628298,2202,87,48,4464,0.872759432,437079,606491,55569,100765,102013,283308,11,1,18,0,42,42,0.013254,o__Rhizobiales (UID3447),356,249,416,UID3448
DBSG00000000,UBA1348,SRX144202,Near complete,100,2.37,0,Arcobacter sp. UBA1348 [genus],,,,,2843595,26.84042408,20.91,99.5235873,52,48,46,2785,0.936423787,199255,199255,59240,61817,108320,108320,11,1,17,0,37,38,0.00651,k__Bacteria (UID3060),138,246,338,UID3162
DBSF00000000,UBA1349,SRX144203,Medium,82.76,1.72,0,Rhizobiales bacterium UBA1349 [order],,,,,4569404,50.40836445,55.25,99.99235781,2650,85,35,4157,0.871962076,539553,631462,53726,130554,149480,323394,11,1,16,0,38,38,0.013254,k__Bacteria (UID203),5449,58,104,UID3448
DBSE00000000,UBA1350,SRX144203,Near complete,97.56,0.54,0,Epsilonproteobacteria bacterium UBA1350 [class],,,,,2530936,33.37632583,34.81,99.99917018,262,23,19,2499,0.933158326,294771,310685,110029,133207,162903,207236,11,3,18,0,46,46,0.006567,k__Bacteria (UID3060),138,246,338,UID3162
DBRZ00000000,UBA1355,SRX822426,Near complete,99.59,0.48,0,Pseudomonas stutzeri [species],1439,99.444,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas stutzeri DSM 10701,CP003725.962133.963667,4131116,63.21403556,108.99,99.9958085,3713,55,37,3805,0.88734158,432913,517150,75043,111651,136462,146578,11,1,18,0,48,50,0.000267,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DBRY00000000,UBA1356,SRX822424,Near complete,99.59,0.48,0,Pseudomonas stutzeri [species],,,,,4463583,63.21204472,88.98,99.98697517,2873,41,28,4100,0.889176924,486661,486661,108797,159413,224377,231547,11,70,17,0,46,46,0.000075,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DCTA00000000,UBA1452,SRX822423,Near complete,99.41,0.79,25,Pseudomonas stutzeri [species],,,,,4373887,63.00420443,282.36,100.0006404,1355,45,35,4016,0.890084266,372820,372829,97167,124968,143672,182155,11,0,17,0,43,44,0.000193,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DCSZ00000000,UBA1453,SRX822420,Near complete,97.37,0.68,0,Pseudomonas stutzeri [species],,,,,4162881,63.26605976,78.51,99.98829168,3447,78,60,3855,0.889590646,226561,258489,53326,69381,99452,113943,11,0,17,0,43,43,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DCSX00000000,UBA1455,SRX822428,Medium,95.8,6.63,83.33,Pseudomonas stutzeri [species],,,,,4398961,62.72380479,39.95,99.99099151,3110,117,96,4177,0.895507144,381755,381755,37571,45822,68910,109756,11,5,17,0,46,46,0.000158,c__Gammaproteobacteria (UID4445),228,244,583,UID4505
DCSK00000000,UBA1468,ERX552341,Medium,74.31,0,0,Pseudomonas stutzeri [species],,,,,3873977,64.13526342,43.8,99.98012278,10257,329,298,3848,0.898941837,79534,79534,11743,12999,17739,17811,11,79,17,0,39,39,0.000189,k__Bacteria (UID203),5449,58,104,UID4497
DCRZ00000000,UBA1479,ERX552344,Near complete,98.51,0,0,Rhodospirillaceae bacterium UBA1479 [family],,,,,3932172,63.66597235,30.5,99.995828,1204,22,12,3726,0.909091464,611135,1035458,178680,327681,355927,480660,11,0,18,0,40,40,0.013757,o__Rhodospirillales (UID3754),63,201,336,UID3781
DCRJ00000000,UBA1495,SRX822219,Near complete,99.59,0.34,0,Pseudomonas stutzeri [species],,,,,4375449,63.52407592,42.09,99.99090025,1701,67,59,4077,0.893757418,248530,248530,65279,74160,98167,102856,11,5,17,0,47,48,0.000151,c__Gammaproteobacteria (UID4445),228,244,583,UID4497
DCPQ00000000,UBA1540,SRX667739,Medium,88.78,0.47,0,Thiobacillus sp. UBA1540 [genus],,,,,2120467,61.83469756,282.94,99.99156683,9754,186,117,2157,0.919319659,93569,98392,11347,18123,18321,23187,11,14,18,0,37,37,0.015613,c__Betaproteobacteria (UID3959),235,211,419,UID3962
DCPD00000000,UBA1553,SRX667739,Medium,83.55,0,0,Chrysiogenales bacterium UBA1553 [order],,,,,2496386,70.35172987,54.85,99.47218021,29635,562,280,2216,0.818975912,32105,35150,4389,8915,8514,11655,11,7,18,1,35,36,0.032497,k__Bacteria (UID3187),2258,117,188,UID3198
DCOA00000000,UBA1582,SRX822215,Medium,88.07,1.99,0,Achromobacter sp. UBA1582 [genus],,,,,6255093,64.8407492,12.58,97.27663519,49975,734,451,6194,0.886996724,82709,82709,8453,13869,18203,21006,11,18,19,0,48,48,0,o__Burkholderiales (UID4000),193,214,427,UID4162
DCNK00000000,UBA1598,SRX822381,Near complete,97.71,1.37,33.33,Pseudomonas stutzeri [species],,,,,4371074,63.80277507,67.14,99.9954699,308,33,31,4082,0.900543894,774929,774929,132447,141002,295859,295859,11,12,17,0,47,49,0.000167,c__Gammaproteobacteria (UID4445),228,244,583,UID4497
DCNJ00000000,UBA1599,SRX822381,Medium,76.55,0,0,Pseudomonas stutzeri [species],,,,,4224093,60.93787277,16.02,99.69924819,19962,204,93,4007,0.877962914,148870,279774,20608,45420,62048,86166,11,8,15,0,38,38,0.001228,k__Bacteria (UID203),5449,58,104,UID4507
DCLX00000000,UBA1637,SRX822099,Near complete,98.83,0.68,0,Pseudomonas stutzeri [species],,,,,4201262,63.10063424,25.67,99.98584479,4927,72,43,3875,0.888798651,261535,377161,58282,97703,86889,140257,11,9,17,0,46,46,0.000075,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DCLS00000000,UBA1642,SRX822098,Partial,68.97,0.24,0,Pseudomonas stutzeri [species],,,,,2556390,61.85797062,27.64,96.86154252,21323,541,322,2827,0.859626661,45565,52402,4685,7939,7860,10119,11,63,17,0,39,40,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4505
DCLO00000000,UBA1646,SRX822097,Medium,88.22,0.81,25,Pseudomonas stutzeri [species],,,,,3965828,64.45697218,13.03,98.86204476,55393,659,382,4004,0.863728079,52241,52241,5933,10381,9914,14296,11,13,16,0,40,40,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4499
DCLE00000000,UBA1656,SRX822094,Near complete,94.74,0.14,0,Pseudomonas stutzeri [species],,,,,4361523,64.30581378,14.09,99.43406093,16709,181,62,4083,0.886349562,302507,318525,24004,70347,85853,132846,11,4,17,0,46,50,0.000189,c__Gammaproteobacteria (UID4445),228,244,583,UID4500
DCIZ00000000,UBA1713,SRX498681,Near complete,91.16,0.37,0,Campylobacter sp. UBA1713 [genus],,,,,1706431,43.96212251,192.65,100.0056745,14661,359,160,1561,0.803893038,26218,45921,4712,10665,7253,14045,11,3,20,0,38,40,0.018952,c__Epsilonproteobacteria (UID3065),111,271,445,UID3116
DCFO00000000,UBA1802,SRX823162,Near complete,96.72,0.85,0,Enterobacteriaceae bacterium UBA1802 [family],,,,,4247161,54.1872673,90.23,99.99048477,1337,29,15,3945,0.887025474,755376,755382,146407,283144,222413,409042,11,0,17,1,57,58,0,f__Enterobacteriaceae (UID5121),138,336,1162,UID5125
DCFM00000000,UBA1804,SRX823160,Near complete,97.09,1.46,14.29,Pseudomonas stutzeri [species],,,,,4312545,63.13546321,35.99,99.7794914,7044,175,108,4096,0.885847684,201089,201089,24602,39930,64204,68736,11,2,18,0,46,46,0.000193,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DCFL00000000,UBA1805,SRX823160,Near complete,98.47,2.27,33.33,Enterobacteriaceae bacterium UBA1805 [family],,,,,4463641,54.16938869,22.55,99.84645978,6177,143,77,4280,0.883774255,290937,525055,31171,57969,66090,111007,11,5,18,1,52,53,0,f__Enterobacteriaceae (UID5121),138,336,1162,UID5125
DCFJ00000000,UBA1807,SRX823164,Near complete,98.81,0.14,0,Pseudomonas stutzeri [species],,,,,4193011,64.20059951,62.75,99.81756957,1276,73,61,3936,0.901693556,274788,274792,57421,68737,82104,93367,11,0,17,0,43,44,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4498
DCFG00000000,UBA1810,SRX823167,Near complete,96.47,0.14,0,Pseudomonas stutzeri [species],,,,,4315539,64.23414386,33.8,99.29538304,3267,146,110,4164,0.89811516,273605,273607,29536,39232,58234,74638,11,0,17,0,44,44,0,c__Gammaproteobacteria (UID4445),228,243,580,UID4501
DCEZ00000000,UBA1817,SRX252167,Near complete,98.42,0,0,Helicobacter pullorum [species],,,,,1634881,34.61082528,36.22,99.9184827,872,44,31,1684,0.926734729,144919,151885,37136,52738,71525,71868,11,1,19,0,35,36,0,o__Campylobacterales (UID3068),106,284,477,UID3127
DDJM00000000,UBA1824,SRX252167,Near complete,98.04,0.83,0,Campylobacter jejuni [species],,,,,1630294,30.3192289,17.2,99.86501171,523,47,38,1743,0.940158033,174743,174743,34675,42902,68563,76095,11,1,19,1,37,38,0.000206,g__Campylobacter (UID3076),40,174,926,UID3102
DDJG00000000,UBA1830,SRX822637,Near complete,99.45,0.14,0,Pseudomonas stutzeri [species],,,,,4252967,64.455935,72.59,99.99809475,1554,20,15,3976,0.90314009,851375,851375,212570,283531,428087,429365,11,0,17,0,49,51,0.000189,c__Gammaproteobacteria (UID4445),228,244,583,UID4500
DDJF00000000,UBA1831,SRX702749,Near complete,99.03,0.11,0,Pseudomonas aeruginosa [species],,,,,6300511,66.50596243,152.18,100.0000952,1154,45,29,5755,0.897097394,728859,862515,139985,217259,351330,493586,11,0,16,1,37,39,0,o__Pseudomonadales (UID4488),185,308,813,UID4632
DDJA00000000,UBA1836,SRX702749,Near complete,96.61,2.07,15,Hafnia alvei [species],,,,,4526574,48.19256136,9.78,91.84267725,5397,316,205,4328,0.861267705,89163,147474,14307,22080,23458,32956,11,0,17,1,46,48,0,f__Enterobacteriaceae (UID5054),223,300,860,UID5101
DDIA00000000,UBA1862,SRX822707,Near complete,98.91,0.48,0,Pseudomonas stutzeri [species],,,,,4308908,63.20499786,80.55,99.99795687,1785,35,20,3970,0.89209447,406498,474462,123060,215445,203924,308461,11,0,17,0,44,45,0.000095,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DDHY00000000,UBA1864,SRX822707,Near complete,97.9,0.14,0,Pseudomonas stutzeri [species],,,,,4159141,64.3911163,25.51,99.85252859,2403,94,69,3887,0.902056458,424117,448625,44220,60277,96193,105635,11,3,16,0,37,37,0.000187,c__Gammaproteobacteria (UID4445),228,243,580,UID4501
DDHQ00000000,UBA1872,SRX595695,Near complete,97.06,1.33,0,Pseudomonas mendocina [species],1531,99.935,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas mendocina DLHK,ALKM01000023.23361.24898,5152032,64.61399269,647.22,99.96046123,45652,243,39,4710,0.874207691,138797,618187,21013,132103,47480,216134,11,1,16,0,42,44,0,o__Pseudomonadales (UID4488),185,308,812,UID4512
DDHF00000000,UBA1883,SRX822413,Near complete,91.79,1.14,0,Comamonas terrigena [species],,,,,4263794,65.14121754,136.14,99.72307477,5966,170,121,3947,0.867673016,174761,176176,25046,35237,65342,71257,11,12,14,0,50,50,0,f__Comamonadaceae (UID4119),39,323,693,UID4147
DDHE00000000,UBA1884,SRX822413,Near complete,98.63,0.72,0,Pseudomonas stutzeri [species],,,,,3927802,63.38655926,85.03,99.95917323,1457,69,54,3643,0.890048684,241386,305046,56903,72737,93613,127466,11,2,17,0,46,46,0.000144,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DDGY00000000,UBA1890,SRX822411,Near complete,99.48,2.32,59.09,Pseudomonas stutzeri [species],,,,,4219394,63.2873952,40.58,99.99411668,4087,61,39,3899,0.890043689,271279,392624,69103,108189,115165,173844,11,0,17,0,47,48,0.000155,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DDGX00000000,UBA1891,SRX822411,Near complete,97.09,0.14,0,Pseudomonas stutzeri [species],,,,,4388711,64.29820251,23.38,99.96952247,5153,82,55,4116,0.896776297,300911,425598,53458,79794,103337,125197,11,12,17,0,48,48,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4497
DDGW00000000,UBA1892,SRX822416,Near complete,99.56,0.27,0,Pseudomonas stutzeri [species],,,,,4167313,63.22720468,43.22,99.96772272,295,22,21,3811,0.891386368,664333,664335,189409,198443,285124,285126,11,3,17,0,47,47,0.000075,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DDGV00000000,UBA1893,SRX822415,Near complete,97.95,0.14,0,Pseudomonas stutzeri [species],,,,,4277577,62.86973004,44.9,99.99826987,436,50,48,4018,0.89515817,408756,408756,85542,89116,157907,166865,11,9,17,0,47,47,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4505
DDGS00000000,UBA1896,SRX822414,Near complete,99.59,0.14,0,Pseudomonas stutzeri [species],,,,,4599186,61.54019311,34.97,99.99845581,1308,23,18,4308,0.89478486,604421,644498,199907,255510,321725,373441,11,0,17,0,47,47,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4504
DDFU00000000,UBA1920,ERX552353,Medium,94.44,6.85,16.28,Pseudomonas stutzeri [species],,,,,4847854,62.9928715,15.56,98.78594025,53856,570,156,4661,0.857000231,120996,426657,8410,31075,24054,55843,11,10,17,0,38,38,0.000546,c__Gammaproteobacteria (UID4445),228,244,583,UID4505
DDFG00000000,UBA1934,SRX247688,Near complete,97.92,0.47,0,Betaproteobacteria bacterium UBA1934 [class],,,,,3244943,60.85223405,304.73,100.0005856,224,10,6,3099,0.928863465,1057069,1281653,324471,540823,706155,1057077,11,0,18,0,39,39,0.006324,c__Betaproteobacteria (UID3971),223,211,424,UID3977
DDCP00000000,UBA2003,SRX822563,Near complete,99.18,0.14,0,Pseudomonas stutzeri [species],,,,,4489503,64.11340304,35.99,99.99656924,699,32,28,4153,0.898990824,392965,486381,140275,160339,247006,247081,11,1,17,0,46,48,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4498
DDCO00000000,UBA2004,SRX822563,Near complete,96.6,0.48,0,Enterobacteriaceae bacterium UBA2004 [family],,,,,4311588,55.61332298,28.65,99.99884001,1200,39,32,3994,0.895227002,367962,367962,110522,134737,142518,212567,11,0,16,1,49,50,0.000993,f__Enterobacteriaceae (UID5121),138,336,1162,UID5125
DDCM00000000,UBA2006,SRX822563,Near complete,93.27,1.71,10.53,Agrobacterium tumefaciens [species],,,,,5537351,59.23361884,11.17,97.70679257,42122,580,268,5453,0.865079349,129600,146842,9474,20661,23925,33173,11,12,16,0,33,33,0,f__Rhizobiaceae (UID3564),78,354,840,UID3596
DDCI00000000,UBA2010,SRX1044554,Near complete,98.11,0.92,0,Cupriavidus sp. UBA2010 [genus],,,,,6368505,64.05155193,409.76,99.99875917,1799,45,37,5784,0.887331014,570382,570382,141482,172121,292421,302397,11,7,17,0,47,47,0,f__Burkholderiaceae (UID4003),91,218,596,UID4081
DDBR00000000,UBA2027,SRX1044555,Partial,67.24,0,0,Cupriavidus sp. UBA2027 [genus],,,,,4936573,63.99580283,548.35,85.88738045,2776,28,17,4442,0.887357485,476075,570593,176207,290386,264476,340755,11,7,17,0,40,40,0,k__Bacteria (UID203),5449,58,104,UID4081
DDAQ00000000,UBA2054,SRX822394,Medium,81.59,0.41,0,Pseudomonas stutzeri [species],,,,,3946151,63.3985624,236.55,100.0449203,37004,663,223,4181,0.854752644,87254,102354,5896,17695,11318,25570,11,29,17,0,43,44,0.000155,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DDAO00000000,UBA2056,SRX822397,Near complete,99.18,0.27,0,Pseudomonas stutzeri [species],,,,,4349289,63.09339937,187.87,99.98767321,1037,35,24,4017,0.88881677,717174,717523,124235,181220,200152,236712,11,1,17,0,45,46,0.000095,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DDAG00000000,UBA2064,SRX822395,Near complete,94.54,0.55,33.33,Pseudomonas stutzeri [species],,,,,4271304,62.75360707,363.48,100.0001639,869,37,29,3962,0.89669595,729179,729525,115417,147286,435015,505306,11,3,17,0,47,48,0.000205,c__Gammaproteobacteria (UID4445),228,244,583,UID4505
DDAC00000000,UBA2068,SRX822398,Near complete,91.02,3.33,46,Enterobacteriaceae bacterium UBA2068 [family],,,,,4307173,54.01199656,20.91,99.96397638,4440,92,68,3987,0.887589377,259115,259115,46768,63340,95987,104036,11,2,18,1,64,66,0,f__Enterobacteriaceae (UID5121),138,336,1162,UID5125
DCZQ00000000,UBA2080,SRX822393,Near complete,99.07,0.14,0,Pseudomonas stutzeri [species],,,,,3571203,60.886201,76.96,99.99882296,2938,61,48,3384,0.894912723,263858,383204,58496,74400,133485,154501,11,0,17,1,45,46,0.000899,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DCZP00000000,UBA2081,SRX822393,Near complete,96.72,0.14,0,Pseudomonas stutzeri [species],,,,,4300394,61.74638704,36.6,99.99481238,1702,63,56,3986,0.89401227,281458,281458,68233,76792,151043,151043,11,7,16,0,39,40,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4504
DCYH00000000,UBA2115,SRX822889,Medium,84.76,1.55,57.14,Pseudomonas stutzeri [species],,,,,4025482,63.17176134,70.01,99.99906059,86825,882,342,4138,0.843402604,64717,76797,4465,11770,7203,16376,11,24,17,0,38,39,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4505
DCYD00000000,UBA2119,SRX823370,Near complete,99.53,0.93,0,Achromobacter sp. UBA2119 [genus],,,,,6183636,65.19401982,103.87,99.99705588,1819,36,23,5717,0.899016857,928576,928576,171717,268853,354934,355307,11,0,19,0,56,56,0.000187,o__Burkholderiales (UID4000),193,214,427,UID4164
DCXS00000000,UBA2130,ERX556021,Near complete,95.16,0.65,0,Desulfobacteraceae bacterium UBA2130 [family],807,98.381,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;SEEP-SRB1;uncultured bacterium,AB858610.1.1408,2980273,45.75399242,144.28,99.99973069,9706,100,71,2926,0.857513389,150764,150764,29705,41975,50383,65825,11,9,18,1,43,44,0.015691,c__Deltaproteobacteria (UID3216),83,155,247,UID3222
DCXJ00000000,UBA2139,ERX556021,Near complete,90.47,1,0,Rhodospirillaceae bacterium UBA2139 [family],,,,,2494101,62.47171421,20.69,99.67653556,44991,310,169,2406,0.859893004,47774,90160,7900,14757,14615,21710,11,7,16,1,30,32,0.008053,o__Rhodospirillales (UID3754),63,201,336,UID3781
DCWS00000000,UBA2156,ERX556027,Near complete,96.45,0.65,0,Desulfobacteraceae bacterium UBA2156 [family],314,97.106,Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;SEEP-SRB1;uncultured bacterium,AB858610.1.1408,2941156,45.87213578,64.4,99.98463236,6418,97,78,2894,0.856581902,150764,150764,30255,37707,58046,66852,11,6,17,1,41,42,0.015691,c__Deltaproteobacteria (UID3216),83,155,247,UID3222
DCWJ00000000,UBA2165,ERX556027,Medium,91.28,5.22,6.67,Rhodospirillaceae bacterium UBA2165 [family],,,,,4397465,50.58398533,16.42,98.86583106,36739,311,195,4300,0.892149682,72405,107733,14021,22551,27727,37267,11,6,14,1,23,24,0.013444,o__Rhodospirillales (UID3754),63,201,336,UID3781
DCUL00000000,UBA2215,SRX327722,Medium,74.98,0.61,0,Sulfurovum sp. UBA2215 [genus],,,,,1517457,40.52748895,22.61,99.9422645,193,14,10,1508,0.917084306,432584,432592,108376,151745,204752,204756,11,1,16,0,26,26,0.006624,k__Bacteria (UID3060),138,244,335,UID3167
DCUJ00000000,UBA2217,SRX327722,Near complete,97.82,0.38,0,Sulfurospirillum sp. UBA2217 [genus],,,,,2418939,39.46485557,23.42,99.9457596,78,14,13,2355,0.951948354,300034,465566,172775,186072,233207,285205,11,1,13,0,17,18,0.004959,p__Proteobacteria (UID3061),115,260,395,UID3071
DDYR00000000,UBA2229,SRX327722,Partial,68.36,0.73,33.33,bacterium UBA2229 [division],,,,,1963322,62.67436808,13.32,97.73716586,4893,297,221,2032,0.894058641,37139,39251,6594,8883,10394,11841,11,1,9,0,12,12,,c__Deltaproteobacteria (UID3217),62,168,280,UID3234
DDXW00000000,UBA2250,SRX559894,Medium,81.03,1.72,0,Rhodocyclaceae bacterium UBA2250 [family],,,,,2754966,66.93326635,49.06,99.7888789,149,82,81,2754,0.937759304,148975,148977,33595,34011,48169,48169,11,2,18,1,40,41,0.00787,k__Bacteria (UID203),5449,58,104,UID3972
DDXK00000000,UBA2262,SRX559894,Medium,89.16,4.96,12.5,Desulfobulbaceae bacterium UBA2262 [family],,,,,2871418,61.69637365,19.86,99.42577146,2003,174,143,2839,0.895531406,98537,98546,16490,20079,29887,32256,11,0,13,0,26,27,0.011136,c__Deltaproteobacteria (UID3217),62,168,280,UID3234
