#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
UBA4064_00435        -          dsrA                 -           1.6e-134  456.4   1.2    2e-134  456.0   1.2   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA3823_00874        -          dsrA                 -           3.4e-125  425.8   1.5  4.3e-125  425.5   1.5   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA3076_01263        -          dsrA                 -           4.5e-125  425.4   2.1  6.5e-125  424.9   2.1   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA3867_01568        -          dsrA                 -           6.2e-125  425.0   1.5  8.2e-125  424.6   1.5   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA663_00315         -          dsrA                 -           8.4e-125  424.5   0.7  1.1e-124  424.1   0.7   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA911_00890         -          dsrA                 -           1.3e-124  424.0   0.1  1.6e-124  423.6   0.1   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA2270_02663        -          dsrA                 -           2.2e-124  423.2   2.1  3.2e-124  422.6   2.1   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA2213_02082        -          dsrA                 -           2.7e-124  422.9   1.6  3.5e-124  422.5   1.6   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA2276_00274        -          dsrA                 -           3.9e-124  422.4   1.6  5.2e-124  422.0   1.6   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA6814_01937        -          dsrA                 -           4.5e-124  422.2   0.1  7.1e-124  421.5   0.1   1.3   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA6079_03123        -          dsrA                 -           4.7e-124  422.1   0.2  7.8e-124  421.4   0.2   1.3   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA2564_00962        -          dsrA                 -             5e-124  422.0   0.9    5e-124  422.0   0.9   1.4   2   0   0   2   2   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5611_00897        -          dsrA                 -           7.8e-124  421.4   1.1    1e-123  421.0   1.1   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA2273_00263        -          dsrA                 -           1.1e-123  420.8   1.9  1.5e-123  420.5   1.9   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA2225_03132        -          dsrA                 -           1.5e-123  420.4   0.4  2.2e-123  419.9   0.4   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA2262_01705        -          dsrA                 -           1.6e-123  420.4   1.7  1.9e-123  420.1   1.7   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA6112_00523        -          dsrA                 -           2.1e-123  419.9   0.3    3e-123  419.5   0.3   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA4056_01246        -          dsrA                 -           5.3e-123  418.6   1.8  7.1e-123  418.2   1.8   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5750_01988        -          dsrA                 -           5.3e-123  418.6   1.8  7.1e-123  418.2   1.8   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5121_02755        -          dsrA                 -           6.8e-120  408.5   1.7  8.9e-120  408.1   1.7   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA6913_01544        -          dsrA                 -           6.8e-120  408.5   1.7  8.9e-120  408.1   1.7   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5123_01817        -          dsrA                 -           8.5e-120  408.2   1.0  1.1e-119  407.8   1.0   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA2194_00163        -          dsrA                 -           1.9e-118  403.7   0.2  2.6e-118  403.3   0.2   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5628_01847        -          dsrA                 -           5.6e-118  402.2   0.8  8.5e-118  401.6   0.8   1.3   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA1335_02639        -          dsrA                 -           2.3e-117  400.2   1.4  3.2e-117  399.8   1.4   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA728_01037         -          dsrA                 -           2.3e-117  400.2   1.4  3.2e-117  399.8   1.4   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA7315_00841        -          dsrA                 -           2.3e-117  400.2   1.4  3.2e-117  399.8   1.4   1.2   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA4804_02724        -          dsrA                 -           8.6e-117  398.3   0.1  1.1e-116  398.0   0.1   1.1   1   0   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA4059_00142        -          dsrA                 -           6.7e-105  359.4   6.1  1.1e-103  355.5   6.1   2.2   1   1   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5796_02246        -          dsrA                 -           1.1e-104  358.7   1.1  5.3e-104  356.5   1.1   1.9   1   1   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA2280_01450        -          dsrA                 -           2.6e-104  357.5   3.4  1.2e-103  355.3   3.4   1.9   1   1   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA5828_00128        -          dsrA                 -           1.8e-103  354.8   4.0  1.1e-102  352.2   4.0   2.0   1   1   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA3569_01016        -          dsrA                 -           2.8e-103  354.1   1.0    1e-102  352.3   1.0   1.8   1   1   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA3576_01043        -          dsrA                 -           2.8e-103  354.1   1.0    1e-102  352.3   1.0   1.8   1   1   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
UBA6911_02317        -          dsrA                 -           4.5e-101  346.9   4.7  1.8e-100  344.9   4.7   1.8   1   1   0   1   1   1   1 Sulfite reductase, dissimilatory-type subunit alpha
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      ../hmms/dsrA.hmm
# Target file:     uba-bac-proteins.faa
# Option settings: hmmsearch --tblout table-dsrA.out -E 1e-100 ../hmms/dsrA.hmm uba-bac-proteins.faa 
# Current dir:     /clusterfs/vector/scratch/barnum/UBA-GENOMES
# Date:            Thu Jun 21 15:39:40 2018
# [ok]
