DDBJ/ENA/GenBank Accession,UBA Genome ID,SRA Bin ID,Genome Quality,CheckM Completeness,CheckM Contamination,CheckM Strain Heterogeneity,NCBI Organism Name,SSU Length (bp),SSU Percent Identity (top hit),SSU SILVA Taxonomy (top hit),SSU Top Hit in SILVA,Genome Size (bp),GC,Coverage,Bases >5x Coverage (%),No. Ambiguous Bases,No. Contigs,No. Scaffolds,No. Predicted Genes,Coding density,Longest Contig (bp),Longest Scaffold (bp),Mean Contig Length (bp),Mean Scaffold Length (bp),N50 (contigs),N50 (scaffolds),Translation Table,Scaffolds Removed by Filtering,Standard tRNAs,Selenocysteine tRNAs (TCA),tRNAs Decoding Standard 20 AA,Total tRNAs,Percent PG (relative to NCBI genomes),CheckM Marker Lineage,CheckM # genomes,CheckM # marker sets,CheckM # markers,CheckM Insertion Branch ID
DCOB00000000,UBA1581,SRX822944,Near complete,97.93,1.03,0,Stenotrophomonas maltophilia [species],,,,,4664686,66.12882447,41.5,99.98406786,7434,92,49,4221,0.889312593,405013,645984,50622,95197,90973,134793,11,2,18,1,53,54,0,f__Xanthomonadaceae (UID4214),55,290,659,UID4232
DCOA00000000,UBA1582,SRX822215,Medium,88.07,1.99,0,Achromobacter sp. UBA1582 [genus],,,,,6255093,64.8407492,12.58,97.27663519,49975,734,451,6194,0.886996724,82709,82709,8453,13869,18203,21006,11,18,19,0,48,48,0,o__Burkholderiales (UID4000),193,214,427,UID4162
DCNY00000000,UBA1584,SRX822148,Near complete,92.7,0.43,0,Enterobacteriaceae bacterium UBA1584 [family],,,,,3691651,56.73177452,81.66,99.99875374,596,17,14,3379,0.896123442,980181,980181,217120,263689,434986,443498,11,3,18,1,64,65,0.000229,f__Enterobacteriaceae (UID5124),134,336,1173,UID5130
DCNX00000000,UBA1585,SRX822148,Near complete,96.72,0.94,25,Pantoea agglomerans [species],,,,,4577983,55.32303741,15.91,99.71200716,12939,152,70,4209,0.861573099,181898,292826,30033,65399,72472,113780,11,1,16,0,51,51,0,f__Enterobacteriaceae (UID5054),223,305,875,UID5114
DCNQ00000000,UBA1592,SRX822388,Medium,76.04,1.32,0,Kocuria sp. UBA1592 [genus],,,,,2188132,68.59048694,17.21,98.95137967,27102,315,180,2064,0.857418565,47005,47005,6860,12156,16489,17255,11,4,16,0,34,34,0.000323,o__Actinomycetales (UID1530),622,152,257,UID1630
DCNP00000000,UBA1593,SRX206471,Near complete,94.72,1.64,0,Competibacteraceae bacterium UBA1593 [family],,,,,3467249,57.0295718,353.21,99.97128559,5573,92,64,3165,0.909402815,149538,272790,37626,54175,75797,100510,11,4,19,1,45,46,0,c__Gammaproteobacteria (UID4267),119,284,544,UID4303
DCNL00000000,UBA1597,SRX206471,Medium,87.13,0.25,0,Bacillus subtilis [species],789,100,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;Bacillus subtilis,JPNZ01000003.3261.4816,3577084,43.644809,2.86,99.94117909,3525,47,25,3572,0.884223015,370491,813662,76033,143083,160123,258982,11,1,15,0,25,25,0,g__Bacillus (UID865),36,269,1200,UID884
DCNK00000000,UBA1598,SRX822381,Near complete,97.71,1.37,33.33,Pseudomonas stutzeri [species],,,,,4371074,63.80277507,67.14,99.9954699,308,33,31,4082,0.900543894,774929,774929,132447,141002,295859,295859,11,12,17,0,47,49,0.000167,c__Gammaproteobacteria (UID4445),228,244,583,UID4497
DCNI00000000,UBA1600,SRX822386,Near complete,97.43,0.25,0,Enterobacter hormaechei [species],,,,,4534141,55.63836173,93.81,99.86088799,2541,78,45,4202,0.897690213,306665,427714,58097,100758,141718,166738,11,0,18,1,61,62,0,f__Enterobacteriaceae (UID5124),134,336,1173,UID5132
DCMP00000000,UBA1619,SRX823092,Near complete,97.34,0.27,25,Enterobacter cloacae [species],,,,,4708925,54.74202882,12.27,98.47940053,21037,271,121,4497,0.885526527,141365,159614,17298,38916,40641,62709,11,0,17,1,62,63,0,f__Enterobacteriaceae (UID5124),134,335,1170,UID5138
DCLY00000000,UBA1636,SRX822099,Near complete,98.15,0.18,40,Enterobacter cloacae [species],,,,,4757935,55.15309549,29.57,99.98436438,5966,100,67,4418,0.900129783,415481,415481,47519,71013,103693,132635,11,2,17,1,64,66,0,f__Enterobacteriaceae (UID5124),134,336,1173,UID5137
DCLX00000000,UBA1637,SRX822099,Near complete,98.83,0.68,0,Pseudomonas stutzeri [species],,,,,4201262,63.10063424,25.67,99.98584479,4927,72,43,3875,0.888798651,261535,377161,58282,97703,86889,140257,11,9,17,0,46,46,0.000075,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DCLU00000000,UBA1640,SRX822099,Medium,76.72,1.1,23.08,Enterobacteriaceae bacterium UBA1640 [family],,,,,3542181,57.4848483,10.23,96.03230185,50988,648,322,3505,0.856466115,50425,62250,5387,11000,11112,15155,11,2,15,1,42,43,0.00026,f__Enterobacteriaceae (UID5121),138,336,1162,UID5124
DCLT00000000,UBA1641,SRX822098,Near complete,98.86,0.15,0,Buttiauxella sp. UBA1641 [genus],,,,,4068544,54.90807779,39.41,99.84298379,811,49,40,3775,0.885045117,407738,407740,83014,101713,133210,158769,11,0,17,0,50,53,0.000999,f__Enterobacteriaceae (UID5054),223,305,876,UID5121
DCLS00000000,UBA1642,SRX822098,Partial,68.97,0.24,0,Pseudomonas stutzeri [species],,,,,2556390,61.85797062,27.64,96.86154252,21323,541,322,2827,0.859626661,45565,52402,4685,7939,7860,10119,11,63,17,0,39,40,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4505
DCLR00000000,UBA1643,SRX822098,Medium,73.28,0,0,Cronobacter turicensis [species],,,,,3520600,57.00458058,13.89,95.26427273,19955,606,409,3695,0.855382321,44186,46688,5776,8607,9788,11551,11,11,15,0,35,36,0,k__Bacteria (UID203),5449,58,104,UID5129
DCLP00000000,UBA1645,SRX822097,Near complete,99.72,0.48,0,Enterobacter hormaechei [species],,,,,4558688,55.49624079,65.69,99.99714763,1082,43,37,4270,0.897534334,332492,362131,105990,123207,151625,154046,11,0,18,1,68,70,0,f__Enterobacteriaceae (UID5124),134,336,1173,UID5132
DCLO00000000,UBA1646,SRX822097,Medium,88.22,0.81,25,Pseudomonas stutzeri [species],,,,,3965828,64.45697218,13.03,98.86204476,55393,659,382,4004,0.863728079,52241,52241,5933,10381,9914,14296,11,13,16,0,40,40,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4499
DCLN00000000,UBA1647,SRX822096,Near complete,96.82,0.66,0,Enterobacter hormaechei [species],,,,,4449131,55.45212081,62.34,99.93717436,3494,99,54,4205,0.894355999,287603,392650,44905,82391,112686,167784,11,13,18,1,63,64,0,f__Enterobacteriaceae (UID5124),134,336,1173,UID5132
DCLK00000000,UBA1650,SRX822093,Near complete,96.13,0.66,12.5,Pantoea septica [species],,,,,3838858,59.25460561,55.34,98.85165362,6739,313,243,3777,0.86859217,109538,109538,12243,15797,23753,27539,11,7,18,0,57,57,0,f__Enterobacteriaceae (UID5054),223,305,876,UID5111
DCLE00000000,UBA1656,SRX822094,Near complete,94.74,0.14,0,Pseudomonas stutzeri [species],,,,,4361523,64.30581378,14.09,99.43406093,16709,181,62,4083,0.886349562,302507,318525,24004,70347,85853,132846,11,4,17,0,46,50,0.000189,c__Gammaproteobacteria (UID4445),228,244,583,UID4500
DCJZ00000000,UBA1687,SRX498680,Medium,85.77,1.08,30.77,Escherichia coli [species],,,,,4046830,50.72842777,127.71,100.007871,44786,886,324,4072,0.823370391,31982,62769,4516,12490,7788,17225,11,20,17,1,48,49,0,f__Enterobacteriaceae (UID5162),88,328,1207,UID5205
DCFO00000000,UBA1802,SRX823162,Near complete,96.72,0.85,0,Enterobacteriaceae bacterium UBA1802 [family],,,,,4247161,54.1872673,90.23,99.99048477,1337,29,15,3945,0.887025474,755376,755382,146407,283144,222413,409042,11,0,17,1,57,58,0,f__Enterobacteriaceae (UID5121),138,336,1162,UID5125
DCFM00000000,UBA1804,SRX823160,Near complete,97.09,1.46,14.29,Pseudomonas stutzeri [species],,,,,4312545,63.13546321,35.99,99.7794914,7044,175,108,4096,0.885847684,201089,201089,24602,39930,64204,68736,11,2,18,0,46,46,0.000193,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DCFL00000000,UBA1805,SRX823160,Near complete,98.47,2.27,33.33,Enterobacteriaceae bacterium UBA1805 [family],,,,,4463641,54.16938869,22.55,99.84645978,6177,143,77,4280,0.883774255,290937,525055,31171,57969,66090,111007,11,5,18,1,52,53,0,f__Enterobacteriaceae (UID5121),138,336,1162,UID5125
DCFJ00000000,UBA1807,SRX823164,Near complete,98.81,0.14,0,Pseudomonas stutzeri [species],,,,,4193011,64.20059951,62.75,99.81756957,1276,73,61,3936,0.901693556,274788,274792,57421,68737,82104,93367,11,0,17,0,43,44,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4498
DCFH00000000,UBA1809,SRX823167,Near complete,99.01,0.46,0,Leclercia adecarboxylata [species],,,,,4639112,55.63965054,32.24,99.99409061,2424,49,31,4274,0.88926135,724237,1154296,94626,149648,160886,275458,11,0,18,1,63,64,0,f__Enterobacteriaceae (UID5124),134,336,1173,UID5131
DCFG00000000,UBA1810,SRX823167,Near complete,96.47,0.14,0,Pseudomonas stutzeri [species],,,,,4315539,64.23414386,33.8,99.29538304,3267,146,110,4164,0.89811516,273605,273607,29536,39232,58234,74638,11,0,17,0,44,44,0,c__Gammaproteobacteria (UID4445),228,243,580,UID4501
DCFE00000000,UBA1812,SRX822630,Near complete,98.2,0.5,0,Leclercia adecarboxylata [species],,,,,4667863,55.79299901,20.35,99.9809527,11035,121,60,4312,0.880027542,201381,390477,38486,77797,71151,116247,11,1,18,1,71,72,0,f__Enterobacteriaceae (UID5124),134,336,1173,UID5131
DDJG00000000,UBA1830,SRX822637,Near complete,99.45,0.14,0,Pseudomonas stutzeri [species],,,,,4252967,64.455935,72.59,99.99809475,1554,20,15,3976,0.90314009,851375,851375,212570,283531,428087,429365,11,0,17,0,49,51,0.000189,c__Gammaproteobacteria (UID4445),228,244,583,UID4500
DDJF00000000,UBA1831,SRX702749,Near complete,99.03,0.11,0,Pseudomonas aeruginosa [species],,,,,6300511,66.50596243,152.18,100.0000952,1154,45,29,5755,0.897097394,728859,862515,139985,217259,351330,493586,11,0,16,1,37,39,0,o__Pseudomonadales (UID4488),185,308,813,UID4632
DDJA00000000,UBA1836,SRX702749,Near complete,96.61,2.07,15,Hafnia alvei [species],,,,,4526574,48.19256136,9.78,91.84267725,5397,316,205,4328,0.861267705,89163,147474,14307,22080,23458,32956,11,0,17,1,46,48,0,f__Enterobacteriaceae (UID5054),223,300,860,UID5101
DDIZ00000000,UBA1837,SRX822634,Near complete,96.13,1.62,38.46,Leclercia adecarboxylata [species],,,,,4504640,56.65119215,18.66,99.94276333,11017,181,127,4224,0.886275263,217331,228195,24826,35469,43358,63488,11,0,18,1,51,52,0.000267,f__Enterobacteriaceae (UID5124),134,336,1173,UID5131
DDIY00000000,UBA1838,SRX822638,Near complete,98.03,0,0,Kocuria sp. UBA1838 [genus],,,,,2689847,68.94151345,36.04,100.0023564,16275,99,19,2423,0.875482137,148834,397845,27005,141570,40769,203777,11,0,20,1,45,46,0.000349,o__Actinomycetales (UID1530),622,152,257,UID1630
DDIX00000000,UBA1839,SRX822638,Near complete,95.35,0.25,0,Bacillus subtilis [species],,,,,3869972,43.66835156,26.75,99.99963823,103,11,10,3903,0.891315751,1046269,1046269,351806,386997,925135,1015692,11,0,19,0,46,46,0,g__Bacillus (UID865),36,269,1200,UID884
DDIS00000000,UBA1844,SRX201528,Medium,87.49,5.19,0,Proteobacteria bacterium UBA1844 [phylum],1520,91.721,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Marinobacter;uncultured organism,DQ396144.1.1515,4229021,57.34370716,27.29,99.50429798,19839,404,217,3922,0.900932391,124084,135699,10418,19488,23610,35606,11,2,14,0,31,31,0.017786,c__Gammaproteobacteria (UID4267),119,284,544,UID4303
DDIA00000000,UBA1862,SRX822707,Near complete,98.91,0.48,0,Pseudomonas stutzeri [species],,,,,4308908,63.20499786,80.55,99.99795687,1785,35,20,3970,0.89209447,406498,474462,123060,215445,203924,308461,11,0,17,0,44,45,0.000095,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DDHY00000000,UBA1864,SRX822707,Near complete,97.9,0.14,0,Pseudomonas stutzeri [species],,,,,4159141,64.3911163,25.51,99.85252859,2403,94,69,3887,0.902056458,424117,448625,44220,60277,96193,105635,11,3,16,0,37,37,0.000187,c__Gammaproteobacteria (UID4445),228,243,580,UID4501
DDHU00000000,UBA1868,SRX822701,Medium,76.02,2.59,66.67,Leclercia adecarboxylata [species],,,,,4597611,55.51186923,11.71,97.90934196,31728,448,250,4433,0.867763497,110387,128978,10191,18390,21668,27129,11,3,17,1,56,57,0.000371,k__Bacteria (UID203),5449,58,104,UID5131
DDHT00000000,UBA1869,SRX822410,Medium,73.43,2.05,75,Achromobacter denitrificans [species],,,,,4453301,67.73563203,164.37,99.17381046,36881,717,475,4383,0.874131571,42225,42530,6159,9375,10814,12183,11,106,16,0,33,33,0,o__Burkholderiales (UID4000),193,214,427,UID4163
DDHI00000000,UBA1880,SRX822418,Medium,85.57,0.2,50,Massilia sp. UBA1880 [genus],,,,,4947273,65.43116065,39.58,99.46117407,42535,587,389,4677,0.882887199,78450,78450,8355,12717,17452,18445,11,11,15,0,49,49,0.000332,o__Burkholderiales (UID4002),107,250,571,UID4093
DDHE00000000,UBA1884,SRX822413,Near complete,98.63,0.72,0,Pseudomonas stutzeri [species],,,,,3927802,63.38655926,85.03,99.95917323,1457,69,54,3643,0.890048684,241386,305046,56903,72737,93613,127466,11,2,17,0,46,46,0.000144,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DDHD00000000,UBA1885,SRX822413,Partial,61.36,0,0,Enterobacter hormaechei [species],,,,,3699453,55.37702071,47.19,100.0032961,28461,509,214,3953,0.867881819,82723,103971,7212,17287,14817,28283,11,6,16,0,37,38,0.000083,k__Bacteria (UID203),5449,58,104,UID5132
DDGW00000000,UBA1892,SRX822416,Near complete,99.56,0.27,0,Pseudomonas stutzeri [species],,,,,4167313,63.22720468,43.22,99.96772272,295,22,21,3811,0.891386368,664333,664335,189409,198443,285124,285126,11,3,17,0,47,47,0.000075,c__Gammaproteobacteria (UID4445),228,244,583,UID4506
DDGS00000000,UBA1896,SRX822414,Near complete,99.59,0.14,0,Pseudomonas stutzeri [species],,,,,4599186,61.54019311,34.97,99.99845581,1308,23,18,4308,0.89478486,604421,644498,199907,255510,321725,373441,11,0,17,0,47,47,0,c__Gammaproteobacteria (UID4445),228,244,583,UID4504
DDGQ00000000,UBA1898,SRX822414,Near complete,95.9,0.74,28.57,Leclercia adecarboxylata [species],,,,,4377381,55.98794126,14.38,99.33797497,14404,170,81,3999,0.881401916,291458,395242,25664,54041,68154,80612,11,1,15,0,51,51,0,f__Enterobacteriaceae (UID5124),134,336,1173,UID5131
