DDBJ/ENA/GenBank Accession,UBA Genome ID,SRA Bin ID,Genome Quality,CheckM Completeness,CheckM Contamination,CheckM Strain Heterogeneity,NCBI Organism Name,SSU Length (bp),SSU Percent Identity (top hit),SSU SILVA Taxonomy (top hit),SSU Top Hit in SILVA,Genome Size (bp),GC,Coverage,Bases >5x Coverage (%),No. Ambiguous Bases,No. Contigs,No. Scaffolds,No. Predicted Genes,Coding density,Longest Contig (bp),Longest Scaffold (bp),Mean Contig Length (bp),Mean Scaffold Length (bp),N50 (contigs),N50 (scaffolds),Translation Table,Scaffolds Removed by Filtering,Standard tRNAs,Selenocysteine tRNAs (TCA),tRNAs Decoding Standard 20 AA,Total tRNAs,Percent PG (relative to NCBI genomes),CheckM Marker Lineage,CheckM # genomes,CheckM # marker sets,CheckM # markers,CheckM Insertion Branch ID
DADV00000000,UBA11,ERX556126,Medium,72.76,0,0,Euryarchaeota archaeon UBA11 [phylum],,,,,1859385,58.30067156,75.76,99.99878571,47634,216,85,1629,0.902932421,41499,93024,8387,21875,15544,35735,11,0,17,0,35,35,0.176438,p__Euryarchaeota (UID3),148,125,188,UID139
DADW00000000,UBA12,ERX556126,Medium,80.53,0.8,0,Euryarchaeota archaeon UBA12 [phylum],382,100,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;marine metagenome,AACY020187844.576.1995,1891970,62.6960932,57.54,99.98659375,27168,134,59,1656,0.92429584,82416,131227,13916,32067,29746,52259,11,1,20,0,43,43,0.21475,p__Euryarchaeota (UID3),148,125,188,UID139
DAHU00000000,UBA13,ERX556126,Medium,73.33,2.4,0,Euryarchaeota archaeon UBA13 [phylum],,,,,1602356,43.14272642,34.46,99.87378894,54948,282,137,1430,0.856236067,29935,83654,5487,11696,9160,17086,11,2,16,0,24,25,0.153924,p__Euryarchaeota (UID3),148,125,188,UID139
DAOK00000000,UBA14,ERX556126,Partial,62.13,0.8,0,Euryarchaeota archaeon UBA14 [phylum],,,,,1117122,50.35618502,22.23,99.94139979,4498,33,19,973,0.942888959,150976,184151,33715,58795,87234,103976,11,0,16,0,32,33,0.285868,p__Euryarchaeota (UID3),148,125,188,UID48
DAEW00000000,UBA15,ERX556126,Medium,72.27,4,0,Euryarchaeota archaeon UBA15 [phylum],,,,,2330256,40.78471328,12.8,96.24644542,28651,315,227,2045,0.924461518,69415,105618,7306,10265,14092,18206,11,38,15,0,23,23,0.18389,p__Euryarchaeota (UID3),148,125,188,UID139
DATK00000000,UBA16,ERX556129,Medium,77.81,0.8,0,Euryarchaeota archaeon UBA16 [phylum],,,,,1661706,34.49018361,32.03,99.97983623,25107,188,117,1451,0.908054132,54392,114400,8705,14202,19768,23800,11,0,16,0,29,29,0.293702,p__Euryarchaeota (UID3),148,125,188,UID139
DATH00000000,UBA17,ERX556129,Medium,73.33,0.8,0,Euryarchaeota archaeon UBA17 [phylum],,,,,1677719,39.7196668,14.7,99.03942919,33176,290,195,1535,0.896037417,31785,77238,5670,8603,9247,10990,11,11,17,0,29,29,0.12742,p__Euryarchaeota (UID3),148,125,188,UID139
DAEA00000000,UBA18,ERX552241,Medium,71.2,0,0,Euryarchaeota archaeon UBA18 [phylum],688,99.708,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;marine metagenome,AACY020125842.55.1493,1288480,47.50743026,81.24,100.0015039,25065,145,77,1160,0.905217,62152,82327,8713,16733,16481,24452,11,27,16,0,32,32,0.196193,p__Euryarchaeota (UID3),148,125,188,UID139
DAPQ00000000,UBA19,ERX552241,Medium,75.33,0,0,Euryarchaeota archaeon UBA19 [phylum],,,,,1387308,45.4927572,40.55,99.99484214,10768,113,83,1257,0.929813711,85081,85081,12181,16714,21966,25313,11,4,16,0,28,28,0.00805,p__Euryarchaeota (UID3),148,125,188,UID139
DAPP00000000,UBA20,ERX552241,Medium,76.4,0,0,Euryarchaeota archaeon UBA20 [phylum],666,100,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured archaeon,HQ529835.1.918,1401856,48.63805667,38.73,99.99848825,12738,73,39,1249,0.934086668,146408,147452,19029,35945,43463,69795,11,1,18,0,37,37,0.281575,p__Euryarchaeota (UID3),148,125,188,UID139
DAFI00000000,UBA21,ERX552241,Partial,53.33,0,0,Euryarchaeota archaeon UBA21 [phylum],,,,,1140216,43.5571802,18.43,99.73554601,27357,178,104,1038,0.895096192,34892,65094,6252,10963,10555,16005,11,5,16,0,23,23,0.178249,p__Euryarchaeota (UID3),148,125,188,UID139
DAXM00000000,UBA22,ERX552243,Partial,64.3,0,0,Euryarchaeota archaeon UBA22 [phylum],,,,,1183021,49.21502093,73.66,99.9703069,17767,148,93,1056,0.916505286,40235,60749,7873,12720,13952,19559,11,4,19,0,35,35,0.197341,p__Euryarchaeota (UID3),148,125,188,UID139
DAIJ00000000,UBA23,ERX552243,Medium,84.93,0,0,Euryarchaeota archaeon UBA23 [phylum],,,,,1494957,40.50199927,32.24,99.99183971,12166,76,42,1300,0.92036092,144126,144126,19510,35594,46783,78576,11,0,17,0,35,35,0.105751,p__Euryarchaeota (UID3),148,125,188,UID139
DASO00000000,UBA24,ERX552243,Medium,89.24,0,0,Euryarchaeota archaeon UBA24 [phylum],1359,98.374,Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Candidatus Halobonum;uncultured archaeon,AY856363.1.1409,1130095,41.54146508,24.53,99.93791363,4244,28,16,1170,0.923127702,197305,258239,40208,70630,52618,98342,11,1,20,0,43,43,0.269217,p__Euryarchaeota (UID54),90,153,234,UID73
DARV00000000,UBA25,ERX552244,Partial,61.83,1.6,100,Euryarchaeota archaeon UBA25 [phylum],,,,,1101783,51.45840564,239.64,99.97000951,41447,212,94,1059,0.853978506,32007,52804,5001,11721,9123,16436,11,15,17,0,30,30,0.169011,p__Euryarchaeota (UID3),148,125,188,UID139
DANV00000000,UBA26,ERX552249,Medium,75.2,0,0,Euryarchaeota archaeon UBA26 [phylum],815,100,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;marine metagenome,AACY020071651.1283.2723,1358582,45.51431063,556.32,99.98359468,29745,183,91,1226,0.893313764,79041,115498,7261,14929,14286,22672,11,5,16,0,32,32,0.00805,p__Euryarchaeota (UID3),148,125,188,UID139
DANT00000000,UBA27,ERX552249,Medium,74.8,0,0,Euryarchaeota archaeon UBA27 [phylum],,,,,1780808,48.97521495,135.18,99.98818346,29026,192,109,1510,0.905810733,60025,112968,9123,16337,19202,29829,11,0,18,0,38,38,0.218125,p__Euryarchaeota (UID3),148,125,188,UID139
DANW00000000,UBA28,ERX552249,Medium,73.33,0,0,Euryarchaeota archaeon UBA28 [phylum],302,100,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;marine metagenome,AACY020125842.55.1493,1287379,47.53249411,114.9,100.0048795,16764,87,44,1135,0.92023095,113497,121403,14604,29258,27852,51230,11,8,17,0,36,36,0.196073,p__Euryarchaeota (UID3),148,125,188,UID139
DALD00000000,UBA29,SRX672316,Partial,68.22,0,0,Euryarchaeota archaeon UBA29 [phylum],922,98.59,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured archaeon,KJ882164.1.1437,1460939,52.10566255,68.83,99.97002255,79901,356,64,1319,0.777269277,32205,87942,3879,22827,7788,35276,11,3,18,0,36,36,0.0558,p__Euryarchaeota (UID3),148,125,188,UID139
DAJT00000000,UBA30,SRX672316,Partial,66,0,0,Euryarchaeota archaeon UBA30 [phylum],,,,,1352311,38.08270096,57.75,100.0119778,58251,291,79,1252,0.819590316,88210,99582,4446,17117,9209,29349,11,9,19,0,37,37,0.190009,p__Euryarchaeota (UID3),148,125,188,UID139
DAOY00000000,UBA31,SRX672316,Partial,63.73,0,0,Euryarchaeota archaeon UBA31 [phylum],,,,,1287962,45.86274611,23.15,99.89883102,13856,83,27,1094,0.906628456,128228,167377,15350,47702,40434,78258,11,5,19,0,32,32,0.034426,p__Euryarchaeota (UID3),148,125,188,UID48
DAZF00000000,UBA32,ERX442545,Near complete,96.2,3.37,0,Methanolobus sp. UBA32 [genus],,,,,2326582,42.28523917,14.14,97.02004393,541,87,83,2393,0.882216488,134053,134067,26736,28031,40168,46114,11,11,17,0,27,27,0.040545,p__Euryarchaeota (UID49),95,153,228,UID68
DAYE00000000,UBA33,ERX442546,Medium,75.67,2.4,0,Euryarchaeota archaeon UBA33 [phylum],,,,,1681612,42.98763178,19.71,98.9015482,1338,138,121,1755,0.891589142,96517,96539,12175,13897,20149,22585,11,37,16,0,28,28,0.075793,p__Euryarchaeota (UID3),148,125,188,UID139
DALJ00000000,UBA34,ERX555973,Medium,75.88,2.4,60,Euryarchaeota archaeon UBA34 [phylum],,,,,1403855,53.04696611,17.89,99.54687145,19921,160,101,1249,0.905521582,54843,54843,8649,13899,14540,20771,11,4,19,0,40,40,0.060411,p__Euryarchaeota (UID3),148,125,188,UID139
DAGT00000000,UBA35,ERX555971,Partial,60.67,2,0,Euryarchaeota archaeon UBA35 [phylum],,,,,1430304,39.69630372,20.26,99.68528662,25216,251,181,1323,0.906372352,32825,37059,5597,7902,8664,10426,11,4,14,0,26,28,0.127388,p__Euryarchaeota (UID3),148,125,188,UID139
DAJW00000000,UBA36,ERX555978,Partial,69.72,1.2,100,Euryarchaeota archaeon UBA36 [phylum],,,,,1344809,37.18312973,14.88,98.74959025,23882,226,157,1277,0.906980099,40697,54668,5844,8565,9355,10778,11,2,14,0,23,23,0.033564,p__Euryarchaeota (UID3),148,125,188,UID139
DAJK00000000,UBA37,SRX803008,Medium,80.58,0,0,Euryarchaeota archaeon UBA37 [phylum],1453,99.788,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured archaeon,JN591986.1.1424,1832746,50.27236613,20.79,99.72079599,4692,166,91,1609,0.927988385,66895,127842,11012,20140,21400,29991,11,1,19,0,40,40,0.146895,p__Euryarchaeota (UID3),148,125,188,UID139
DAGP00000000,UBA38,ERX556003,Partial,52.13,0,0,Euryarchaeota archaeon UBA38 [phylum],,,,,991602,45.63738199,158.17,99.9991496,50871,251,108,912,0.822556832,21893,68869,3747,9181,6341,11893,11,13,14,0,21,21,0.017424,p__Euryarchaeota (UID3),148,125,188,UID139
DAQW00000000,UBA39,ERX556005,Partial,64.94,1.33,33.33,Euryarchaeota archaeon UBA39 [phylum],,,,,1579222,40.36310935,23.28,99.90138829,39851,254,144,1355,0.885774134,40462,46436,6060,10966,10890,17347,11,3,18,0,34,35,0.255686,p__Euryarchaeota (UID3),148,125,188,UID139
DAYJ00000000,UBA40,ERX556005,Medium,78.67,1.64,0,Euryarchaeota archaeon UBA40 [phylum],,,,,1799184,48.69637424,14.59,98.74177498,21680,200,137,1564,0.921897927,43313,78952,8887,13132,16687,21514,11,0,17,0,34,35,0.26735,p__Euryarchaeota (UID3),148,125,188,UID139
DADQ00000000,UBA41,ERX556009,Medium,80.48,1.6,33.33,Euryarchaeota archaeon UBA41 [phylum],,,,,1905265,42.20813408,16.93,99.36896158,26774,207,132,1645,0.907892078,64741,95987,9074,14433,17318,22114,11,0,17,0,38,39,0.196248,p__Euryarchaeota (UID3),148,125,188,UID139
DACT00000000,UBA42,SRX691269,Near complete,97.52,0,0,Methanobacterium sp. UBA42 [genus],839,99.523,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;uncultured Methanobacteriales archaeon,KF198721.1.1350,1831924,37.73381827,554.46,100.017385,25767,130,19,1876,0.834177073,208562,506194,13893,96417,51780,263617,11,2,20,0,43,43,0.139938,p__Euryarchaeota (UID3),148,125,188,UID46
DACU00000000,UBA43,SRX691269,Near complete,99.84,0.33,0,Methanosarcina sp. UBA43 [genus],,,,,3046530,40.31137407,389.97,99.9977607,9861,63,20,2580,0.754199368,277331,478150,48201,152326,99646,325747,11,0,20,0,50,51,0.033748,p__Euryarchaeota (UID49),95,153,228,UID61
DACV00000000,UBA44,SRX691269,Near complete,98.4,0,0,Methanobacterium sp. UBA44 [genus],1472,97.981,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;uncultured bacterium,AY796044.1.1442,2266768,33.08564783,188.03,100.0005742,2741,18,9,2382,0.829497328,495790,712417,125779,251863,244493,621706,11,1,20,0,37,37,0.071325,p__Euryarchaeota (UID3),148,125,188,UID45
DAVF00000000,UBA45,SRX691269,Near complete,97.71,0.98,50,Methanoculleus sp. UBA45 [genus],1610,99.501,Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;uncultured archaeon,AB818553.1.1044,2589041,60.76861116,75.5,99.99464053,32820,243,102,2686,0.830911523,116977,116977,10519,25382,22863,45181,11,8,20,0,48,48,0.049664,p__Euryarchaeota (UID54),90,153,234,UID82
DAWJ00000000,UBA46,SRX691269,Near complete,96.36,0.8,0,Methanobrevibacter sp. UBA46 [genus],1102,98.824,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;unidentified,HK241364.5.1359,1764029,27.33027212,29.95,99.94384644,25938,218,85,1698,0.823069235,77140,124233,7972,20753,21907,33402,11,19,17,0,24,25,0.115732,p__Euryarchaeota (UID3),148,125,188,UID41
DAKG00000000,UBA47,SRX371701,Near complete,99.84,0.65,0,Methanosarcina sp. UBA47 [genus],,,,,3024395,41.32293702,20.36,99.90173247,1016,42,36,2617,0.758111622,226531,323849,71985,84010,111910,115449,11,2,20,0,51,54,0,p__Euryarchaeota (UID49),95,153,228,UID61
DACS00000000,UBA48,SRX834663,Medium,85.89,0.94,50,Methanomassiliicoccaceae archaeon UBA48 [family],1468,94.146,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmatales Incertae Sedis;Candidatus Methanogranum;uncultured Methanoplasmatales archaeon,JX648297.1.1470,1490143,58.04074471,9.92,91.56163327,7202,293,143,1562,0.882355586,57318,82988,5061,10420,8245,15482,11,1,18,0,39,39,0.121317,p__Euryarchaeota (UID3),148,124,187,UID140
DAUA00000000,UBA49,ERX556134,Partial,57.2,0.8,0,Euryarchaeota archaeon UBA49 [phylum],889,99.775,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;marine metagenome,AACY020125842.55.1493,1043110,47.51170103,76.19,100.0012608,12004,63,30,904,0.921729252,131026,136293,16366,34770,48734,67581,11,6,16,0,29,29,0.19636,p__Euryarchaeota (UID3),148,125,188,UID139
DASJ00000000,UBA50,ERX556134,Medium,73.6,0,0,Euryarchaeota archaeon UBA50 [phylum],303,100,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;marine metagenome,AACY020071651.1283.2723,1393853,45.48723922,62.8,99.93738561,23561,182,111,1262,0.900428524,44205,70739,7529,12557,14217,18651,11,0,20,0,36,36,0.006223,p__Euryarchaeota (UID3),148,125,188,UID139
DAOQ00000000,UBA51,ERX556134,Partial,69.6,2.4,0,Euryarchaeota archaeon UBA51 [phylum],,,,,1389035,48.41033142,29.14,99.9511691,19001,108,53,1245,0.91834547,99313,111862,12685,26208,30263,51229,11,10,17,0,36,37,0.282014,p__Euryarchaeota (UID3),148,125,188,UID139
DAVB00000000,UBA52,ERX556134,Medium,76.4,2.4,25,Euryarchaeota archaeon UBA52 [phylum],,,,,1439628,49.83870062,14.24,98.72567875,14948,117,68,1298,0.929850628,94453,112724,12176,21171,25959,32207,11,1,17,0,28,28,0.240823,p__Euryarchaeota (UID3),148,125,188,UID139
DAZU00000000,UBA53,ERX556130,Medium,80.22,0,0,Euryarchaeota archaeon UBA53 [phylum],1039,97.077,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured marine euryarchaeote DH148-W1,AF257277.1.1402,1731072,41.90961408,45.34,99.96805818,34237,221,130,1514,0.894703398,70907,87620,7677,13315,13352,19719,11,5,17,0,28,28,0.201195,p__Euryarchaeota (UID3),148,125,188,UID139
DAGM00000000,UBA54,ERX556139,Partial,59.73,0,0,Euryarchaeota archaeon UBA54 [phylum],668,100,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured marine group II euryarchaeote DeepAnt-15E7,EU556724.23684.25468,1133618,55.9397296,122.23,99.99209979,32381,163,73,1062,0.875886763,39351,71266,6756,15529,11994,19690,11,44,18,0,36,36,0.144334,p__Euryarchaeota (UID3),148,125,188,UID139
DAFN00000000,UBA55,SRX1075082,Medium,82.55,0,0,Candidatus UAP2 archaeon UBA55 [phylum],,,,,613502,42.09161267,4.67,83.90434807,8935,127,19,716,0.862062389,39091,75044,4760,32289,9386,51391,11,0,18,0,31,32,0.504806,k__Archaea (UID2),207,107,149,UID1
DATO00000000,UBA56,SRX1075082,Partial,63.31,0,0,Euryarchaeota archaeon UBA56 [phylum],667,99.849,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured archaeon,AB213066.1.1342,1226547,61.70373218,42.25,99.94306921,14549,141,20,1092,0.888235836,48673,266348,8595,61327,19712,120068,11,0,20,0,41,41,0.135119,p__Euryarchaeota (UID3),148,125,188,UID139
DABY00000000,UBA57,SRX1075082,Partial,62.86,0,0,Thaumarchaeota archaeon UBA57 [phylum],546,99.436,Archaea;Thaumarchaeota;Marine Benthic Group A;uncultured crenarchaeote,EU650262.1.1415,613362,33.53931665,34.15,100.4545402,8135,82,18,661,0.891408336,50822,120562,7380,34075,22507,65894,11,0,11,0,20,24,0.419216,k__Archaea (UID2),207,103,145,UID199
DAHR00000000,UBA58,SRX1075082,Medium,84.62,0.8,0,Euryarchaeota archaeon UBA58 [phylum],1044,99.836,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured marine archaeon,JQ221926.1.915,1581043,55.94578701,15.7,99.74375714,6365,76,19,1376,0.906213177,159239,269919,20719,83212,38850,114584,11,0,20,0,46,46,0.094454,p__Euryarchaeota (UID3),148,125,188,UID139
DAVI00000000,UBA59,SRX1075082,Medium,73.37,0.93,0,Euryarchaeota archaeon UBA59 [phylum],640,99.061,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured archaeon,FJ981232.1.916,1840727,56.79495918,10.33,101.5833473,66890,610,121,1866,0.794074841,27017,54000,2907,15212,5517,22876,11,0,18,0,39,39,0.254082,p__Euryarchaeota (UID3),148,125,188,UID139
DARQ00000000,UBA60,SRX1075082,Partial,68.84,0.8,0,Euryarchaeota archaeon UBA60 [phylum],,,,,1983983,53.10396033,7.43,99.07979076,58008,587,131,1823,0.797446853,28075,57410,3281,15144,5950,21746,11,0,17,0,35,35,0.213928,p__Euryarchaeota (UID3),148,125,188,UID139
DASW00000000,UBA61,SRX461673,Near complete,98,1.72,25,Thermoplasmata archaeon UBA61 [class],1466,99.428,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Terrestrial Miscellaneous Gp(TMEG);uncultured archaeon,AB364937.1.1399,1787899,67.13701389,107.67,100,0,9,9,1721,0.900766766,400023,400023,198655,198655,348044,348044,11,0,18,0,35,37,0.575796,p__Euryarchaeota (UID3),148,125,188,UID139
DAPJ00000000,UBA62,ERX289005,Medium,77.16,0.4,100,Euryarchaeota archaeon UBA62 [phylum],1466,99.514,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;marine metagenome,AACY020125842.55.1493,1318011,46.79235133,56.59,99.99832359,5679,62,44,1181,0.940044506,149981,227120,21166,29954,61597,64415,11,5,18,0,34,34,0.203644,p__Euryarchaeota (UID3),148,125,188,UID139
DACZ00000000,UBA63,ERX289005,Medium,77.33,0.4,0,Euryarchaeota archaeon UBA63 [phylum],533,98.87,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured archaeon,JQ181852.1.902,1876881,47.07297379,33.42,99.96748383,37796,204,97,1613,0.889423464,72625,124976,9015,19349,17496,32016,11,2,20,0,40,40,0.165987,p__Euryarchaeota (UID3),148,125,188,UID139
DAQC00000000,UBA64,SRX118448,Near complete,99.54,1.31,50,Methanoregula sp. UBA64 [genus],1180,98.539,Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;uncultured archaeon,EU155923.1.1465,2384012,56.43072207,166.46,99.99739643,2662,22,12,2398,0.867662159,1005961,1312066,108243,198667,283518,1312066,11,0,19,0,48,49,0.044598,p__Euryarchaeota (UID54),90,153,234,UID81
DAFB00000000,UBA65,SRX118448,Medium,73.08,1.6,0,Euryarchaeota archaeon UBA65 [phylum],,,,,1672848,43.40619344,16.01,99.48380856,31209,211,111,1587,0.852712261,55459,98741,7780,15070,15014,23336,11,15,16,0,29,29,0.074477,p__Euryarchaeota (UID3),148,125,188,UID139
DAIS00000000,UBA66,ERX552239,Medium,71.07,0.8,0,Euryarchaeota archaeon UBA66 [phylum],,,,,1315197,45.50634112,37.66,99.96547894,23232,182,118,1230,0.89695384,39854,66497,7098,11145,12429,14872,11,8,17,0,30,31,0.007595,p__Euryarchaeota (UID3),148,125,188,UID139
DAKZ00000000,UBA67,ERX552239,Medium,88.76,0,0,Euryarchaeota archaeon UBA67 [phylum],468,98.501,Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Candidatus Halobonum;uncultured archaeon,FJ980971.1.919,1141234,41.49820751,38.15,99.99154401,5944,47,29,1187,0.926915076,167186,167186,24155,39352,60195,64486,11,2,20,0,41,41,0.269217,p__Euryarchaeota (UID54),90,153,234,UID73
DAMT00000000,UBA68,ERX552238,Medium,77.08,0.8,0,Euryarchaeota archaeon UBA68 [phylum],556,90.143,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured marine group II euryarchaeote HF70_59C08,DQ156348.18592.20063,1616078,35.31954474,24.92,99.95231001,9871,92,65,1342,0.937214664,135387,135387,17458,24862,34484,42129,11,0,18,0,31,31,0.277068,p__Euryarchaeota (UID3),148,125,188,UID48
DAMZ00000000,UBA69,ERX552238,Medium,75.6,4.8,0,Euryarchaeota archaeon UBA69 [phylum],1409,99.288,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Marine Group II;uncultured marine group II euryarchaeote HF10_61D03,DQ156396.1.1264,1476213,48.41286124,22.84,99.95206031,13959,66,27,1311,0.92358894,112356,165587,22155,54674,42748,100372,11,0,18,0,38,38,0.280881,p__Euryarchaeota (UID3),148,125,188,UID139
DAOX00000000,UBA70,ERX250271,Medium,80.26,1.96,66.67,Methanosaeta sp. UBA70 [genus],,,,,1991558,52.84058646,482.5,100.0260506,26154,530,195,2254,0.822921552,32398,72377,3708,10213,7099,15145,11,39,19,0,38,38,0,p__Euryarchaeota (UID49),95,153,228,UID59
DARO00000000,UBA71,ERX250271,Near complete,97.98,0,0,Methanomassiliicoccaceae archaeon UBA71 [family],1362,97.512,Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Thermoplasmatales Incertae Sedis;uncultured archaeon,JF980514.1.1417,1618649,59.37115987,203.36,100.0006178,50,16,14,1605,0.916293156,333981,334871,101162,115617,133056,133056,11,0,19,0,45,45,0.083612,p__Euryarchaeota (UID3),148,124,187,UID140
